Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
70263,Medical treatment,May,5,Saturday,6,20,Rear-end,Multi-Vehicle,-27.57233944,152.958205,4076,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
70422,Medical treatment,November,11,Thursday,4,19,Sideswipe,Multi-Vehicle,-27.65221178,153.0700826,4116,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,05,Lane Change
70677,Minor injury,December,12,Wednesday,3,18,Hit object,Single Vehicle,-27.50912446,153.155774,4155,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Dip,1,21,Other
70764,Hospitalisation,August,8,Monday,1,7,Head-on,Multi-Vehicle,-27.55882146,153.175176,4156,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,2,02,Head-on
70787,Medical treatment,November,11,Wednesday,3,6,Rear-end,Multi-Vehicle,-27.64765845,153.049133,4116,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
70795,Hospitalisation,April,4,Monday,1,15,Rear-end,Multi-Vehicle,-27.64005147,153.240598,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,3,04,Rear-end
70806,Hospitalisation,September,9,Thursday,4,19,Rear-end,Multi-Vehicle,-27.50723545,153.038766,4120,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
70930,Hospitalisation,December,12,Friday,5,6,Rear-end,Multi-Vehicle,-27.56611247,153.239374,4164,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,6,04,Rear-end
71009,Minor injury,October,10,Thursday,4,13,Rear-end,Multi-Vehicle,-27.56828947,153.274306,4164,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
71178,Hospitalisation,February,2,Saturday,6,21,Hit object,Single Vehicle,-27.58570547,153.255683,4164,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Level,1,16,Off Carriageway on Straight Hit Object
71183,Hospitalisation,February,2,Monday,1,8,Angle,Multi-Vehicle,-27.58879547,153.228496,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,2,01,Intersection: Adjacent Approach
71333,Hospitalisation,December,12,Saturday,6,12,Hit object,Single Vehicle,-27.32161845,153.0507611,4017,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
71492,Medical treatment,October,10,Friday,5,8,Rear-end,Multi-Vehicle,-27.50540545,153.038882,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
72879,Medical treatment,June,6,Wednesday,3,7,Rear-end,Multi-Vehicle,-27.59776344,152.921284,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
73000,Medical treatment,February,2,Tuesday,2,16,Angle,Multi-Vehicle,-27.60201447,153.261137,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,3,03,Opposing Vehicles Turning
73117,Medical treatment,December,12,Wednesday,3,15,Hit object,Single Vehicle,-27.30282845,153.0444201,4017,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,16,Off Carriageway on Straight Hit Object
76096,Minor injury,August,8,Friday,5,15,Rear-end,Multi-Vehicle,-27.31271545,153.0411261,4017,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
76264,Minor injury,March,3,Sunday,7,2,Hit parked vehicle,Single Vehicle,-27.51491645,153.044643,4120,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,10,Hit Parked Vehicle
76267,Hospitalisation,March,3,Sunday,7,12,Rear-end,Multi-Vehicle,-27.51913645,153.051008,4120,100 - 110 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,5,04,Rear-end
76269,Hospitalisation,March,3,Sunday,7,12,Rear-end,Multi-Vehicle,-27.30018744,153.0162461,4036,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Dip,2,04,Rear-end
76274,Medical treatment,May,5,Wednesday,3,7,Sideswipe,Multi-Vehicle,-27.63236145,153.064265,4116,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
85808,Medical treatment,September,9,Friday,5,5,Hit object,Single Vehicle,-27.56199744,152.994175,4106,80 - 90 km/h,Sealed - Wet,Raining,Dawn/Dusk,Straight,Level,1,16,Off Carriageway on Straight Hit Object
88871,Medical treatment,October,10,Thursday,4,8,Rear-end,Multi-Vehicle,-27.57165344,152.944081,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,04,Rear-end
95105,Medical treatment,October,10,Monday,1,6,Sideswipe,Multi-Vehicle,-27.41934045,153.03503,4030,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
95113,Medical treatment,October,10,Wednesday,3,7,Rear-end,Multi-Vehicle,-27.64815845,153.052716,4116,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
95118,Hospitalisation,October,10,Wednesday,3,14,Angle,Multi-Vehicle,-27.58181045,153.096886,4113,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,03,Opposing Vehicles Turning
95125,Hospitalisation,October,10,Saturday,6,23,Rear-end,Multi-Vehicle,-27.44079845,153.031816,4030,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
95309,Medical treatment,May,5,Monday,1,6,Rear-end,Multi-Vehicle,-27.57161045,153.107571,4123,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
95414,Hospitalisation,April,4,Wednesday,3,16,Rear-end,Multi-Vehicle,-27.41125645,153.068968,4011,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,4,12,Pedestrian
95606,Minor injury,March,3,Thursday,4,16,Rear-end,Multi-Vehicle,-27.64180844,153.011338,4110,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
96285,Medical treatment,May,5,Friday,5,19,Hit object,Single Vehicle,-27.48956245,153.122836,4153,100 - 110 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,1,16,Off Carriageway on Straight Hit Object
97825,Hospitalisation,February,2,Sunday,7,11,Rear-end,Multi-Vehicle,-27.31383945,153.0477811,4017,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,04,Rear-end
97845,Fatal,April,4,Sunday,7,18,Head-on,Multi-Vehicle,-27.30626545,153.0441991,4017,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Curved - view open,Level,6,02,Head-on
97935,Minor injury,December,12,Tuesday,2,18,Hit object,Single Vehicle,-27.58706644,152.927871,4076,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
97946,Minor injury,September,9,Monday,1,11,Rear-end,Multi-Vehicle,-27.31634344,153.0028171,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
98129,Medical treatment,August,8,Thursday,4,5,Overturned,Single Vehicle,-27.55485644,152.940564,4074,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,1,16,Off Carriageway on Straight Hit Object
98137,Hospitalisation,December,12,Sunday,7,10,Rear-end,Multi-Vehicle,-27.44670145,153.032736,4006,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,3,04,Rear-end
98161,Hospitalisation,August,8,Thursday,4,8,Rear-end,Multi-Vehicle,-27.43595745,153.095726,4009,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,3,04,Rear-end
98422,Minor injury,January,1,Tuesday,2,5,Sideswipe,Multi-Vehicle,-27.52176545,153.053096,4121,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,2,05,Lane Change
98455,Hospitalisation,August,8,Thursday,4,20,Head-on,Multi-Vehicle,-27.52484746,153.163886,4156,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Level,2,02,Head-on
98468,Hospitalisation,September,9,Monday,1,6,Sideswipe,Multi-Vehicle,-27.47361245,153.116878,4173,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,5,05,Lane Change
99077,Medical treatment,March,3,Thursday,4,8,Rear-end,Multi-Vehicle,-27.60026182,152.9203174,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
